name	id	description	locus_count	records	last_added	last_updated
achromobacter	1	MLST	7	484	2020-08-10	2020-08-10
abaumannii	1	MLST (Oxford)	7	2204	2020-09-24	2020-09-24
abaumannii	2	MLST (Pasteur)	7	1547	2020-09-24	2020-09-24
aeromonas	1	MLST	6	759	2020-09-30	2020-09-30
aactinomycetemcomitans	1	MLST	7	57	2020-05-24	2020-05-24
aphagocytophilum	1	MLST	7	184	2019-11-14	2019-11-14
arcobacter	1	MLST	7	831	2019-02-19	2019-02-19
afumigatus	1	MLST	7	48	2014-09-16	2014-09-16
bcereus	1	MLST	7	2733	2020-09-16	2020-09-16
blicheniformis	14	MLST	6	49	2020-09-29	2020-09-29
bsubtilis	1	MLST	7	247	2020-08-03	2020-08-03
llactis_phage	1	MLST	5	221	2017-06-19	2017-06-19
bbacilliformis	1	MLST	7	14	2017-06-17	2017-06-17
bhenselae	1	MLST	8	36	2019-09-24	2019-09-24
bwashoensis	1	MLST	6	21	2019-08-22	2019-08-22
blastocystis	1	ST3 MLST	5	81	2019-05-20	2019-05-20
blastocystis	2	ST4 MLST	6	6	2011-09-16	2011-09-16
bordetella	3	MLST	7	96	2020-02-07	2020-02-07
bordetella	1	Bordetella core genes	1415	None	None	None
bordetella	2	Bordetella virulence associated genes	20	None	None	None
borrelia	1	MLST	8	938	2020-09-02	2020-09-02
borrelia	2	MLSA (legacy)	7	None	None	None
brachyspira	5	B. hampsonii MLST	6	20	2015-02-18	2015-02-18
brachyspira	2	B. hyodysenteriae MLST	7	266	2020-09-20	2020-09-20
brachyspira	3	B. intermedia MLST	7	83	2015-07-20	2015-07-20
brachyspira	4	B. pilosicoli MLST	7	94	2019-04-23	2019-04-23
brachyspira	1	Brachyspira MLST	7	36	2012-01-18	2012-01-18
brucella	1	MLST (9 locus)	9	100	2020-09-21	2020-09-21
brucella	2	MLST (21 locus)	21	151	2020-09-21	2020-09-21
bcc	1	MLST	7	1867	2020-09-24	2020-09-24
bpseudomallei	1	MLST	7	1877	2020-09-16	2020-09-16
campylobacter_nonjejuni	5	C. concisus/curvus MLST	7	130	2015-03-11	2015-03-11
campylobacter_nonjejuni	9	C. fetus MLST	7	70	2020-07-23	2020-07-23
campylobacter_nonjejuni	1	C. helveticus MLST	7	9	2015-01-12	2015-01-12
campylobacter_nonjejuni	6	C. hyointestinalis MLST	7	134	2018-11-28	2018-11-28
campylobacter_nonjejuni	2	C. insulaenigrae MLST	7	43	2011-11-10	2011-11-10
campylobacter_nonjejuni	7	C. lanienae MLST	7	172	2018-11-27	2018-11-27
campylobacter_nonjejuni	3	C. lari MLST	7	228	2020-09-23	2020-09-23
campylobacter_nonjejuni	8	C. sputorum MLST	7	16	2011-11-18	2011-11-18
campylobacter_nonjejuni	4	C. upsaliensis MLST	7	206	2020-07-08	2020-07-08
campylobacter	1	MLST	7	11117	2020-09-29	2020-09-29
campylobacter	3	1643 Gundogdu loci	1643	None	None	None
campylobacter	6	C. coli 15-537360	1588	None	None	None
campylobacter	4	C. jejuni / C. coli cgMLST v1.0	1343	34424	2020-09-17	2020-09-17
campylobacter	7	ED pathway	7	None	None	None
campylobacter	2	eMLST (21 partial genes)	21	None	None	None
campylobacter	5	Ribosomal Protein Genes	52	None	None	None
calbicans	1	MLST	7	3585	2020-09-28	2020-09-28
cglabrata	1	MLST	6	178	2020-06-03	2020-06-03
ckrusei	1	MLST	6	191	2020-01-06	2020-08-13
ctropicalis	1	MLST	6	1065	2020-08-28	2020-08-28
cmaltaromaticum	1	MLST	7	56	2018-04-11	2018-04-11
chlamydiales	16	Aerobic and ATP Biogenesis	16	None	None	None
chlamydiales	7	Amino Acyl tRNA Synthesis	3	None	None	None
chlamydiales	17	Aromatic Amino Acids	10	None	None	None
chlamydiales	18	Aspartate Amino Acid	5	None	None	None
chlamydiales	20	Biotin, Lipoate and Ubiquinone	6	None	None	None
chlamydiales	26	Both Purine and Pyrimidine Metabolism	4	None	None	None
chlamydiales	44	C. abortus cgMLST v1.0	959	None	None	None
chlamydiales	30	Cell Division	9	None	None	None
chlamydiales	42	C. trachomatis cgMLST v1.0	817	373	2020-09-30	2020-09-30
chlamydiales	3	DNA Replication	24	None	None	None
chlamydiales	14	Electron Transport Chain	4	None	None	None
chlamydiales	37	Eukaryotic Type Chromatin Factors	4	None	None	None
chlamydiales	29	Fatty Acid and Phospholipid Metabolism	27	None	None	None
chlamydiales	21	Folic Acid	5	None	None	None
chlamydiales	10	Glycolysis, Gluconeogensis, Glycogen	20	None	None	None
chlamydiales	27	Membrane Proteins, Lipoproteins, Porins	9	None	None	None
chlamydiales	36	Miscellaneous Enzymes/Conserved Proteins	44	None	None	None
chlamydiales	1	MLST (Chlamydiales)	7	298	2020-05-04	2020-05-04
chlamydiales	38	MLST (C. trachomatis)	7	88	2019-11-18	2019-11-18
chlamydiales	41	MLST (C. trachomatis Uppsala)	5	527	2020-08-13	2020-08-13
chlamydiales	4	Nucleotide Excision and Repair	18	None	None	None
chlamydiales	33	Pathogenesis Associated Proteins	25	None	None	None
