name	id	description	locus_count	records	last_added	last_updated
abaumannii	1	MLST (Oxford)	7	2461	2021-10-05	2021-10-05
abaumannii	2	MLST (Pasteur)	7	1889	2021-09-30	2021-09-30
aeromonas	1	MLST	6	1055	2021-10-20	2021-10-20
aactinomycetemcomitans	1	MLST	7	57	2020-05-24	2020-05-24
aphagocytophilum	1	MLST	7	184	2019-11-14	2019-11-14
arcobacter	1	MLST	7	833	2021-02-25	2021-02-25
afumigatus	1	MLST	7	48	2014-09-16	2014-09-16
bcereus	1	MLST	7	2792	2021-10-20	2021-10-20
bcereus	2	B. anthracis cgMLST	3803	648	2020-11-10	2020-11-10
bcereus	3	B. anthracis accessory genes	1263	None	None	None
bcereus	4	B. anthracis plasmids	10	40	2021-02-15	2021-02-15
blicheniformis	14	MLST	6	50	2020-12-14	2020-12-14
bsubtilis	1	MLST	7	251	2021-10-07	2021-10-07
llactis_phage	1	MLST	5	221	2017-06-19	2017-06-19
bbacilliformis	1	MLST	7	14	2017-06-17	2017-06-17
bhenselae	1	MLST	8	37	2021-04-23	2021-04-23
bwashoensis	1	MLST	6	21	2019-08-22	2019-08-22
blastocystis	1	ST3 MLST	5	81	2019-05-20	2019-05-20
blastocystis	2	ST4 MLST	6	6	2011-09-16	2011-09-16
borrelia	1	MLST	8	974	2021-09-02	2021-09-02
borrelia	2	MLSA (legacy)	7	None	None	None
brucella	1	MLST (9 locus)	9	104	2021-10-11	2021-10-11
brucella	2	MLST (21 locus)	21	153	2021-10-11	2021-10-11
brucella	3	cgMLST	1665	0	None	None
bcc	1	MLST	7	2049	2021-10-19	2021-10-19
bpseudomallei	1	MLST	7	1940	2021-10-14	2021-10-14
campylobacter_nonjejuni	9	C. fetus MLST	7	73	2020-11-02	2020-11-02
campylobacter_nonjejuni	1	C. helveticus MLST	7	9	2015-01-12	2015-01-12
campylobacter_nonjejuni	6	C. hyointestinalis MLST	7	135	2021-02-16	2021-02-16
campylobacter_nonjejuni	2	C. insulaenigrae MLST	7	43	2011-11-10	2011-11-10
campylobacter_nonjejuni	7	C. lanienae MLST	7	172	2018-11-27	2018-11-27
campylobacter_nonjejuni	3	C. lari MLST	7	299	2021-09-08	2021-09-08
campylobacter_nonjejuni	8	C. sputorum MLST	7	16	2011-11-18	2011-11-18
campylobacter_nonjejuni	4	C. upsaliensis MLST	7	211	2020-10-23	2020-10-23
campylobacter	1	MLST	7	11537	2021-10-19	2021-10-19
campylobacter	3	1643 Gundogdu loci	1643	None	None	None
campylobacter	6	C. coli 15-537360	1588	None	None	None
campylobacter	4	C. jejuni / C. coli cgMLST v1.0	1343	35308	2021-10-15	2021-10-15
campylobacter	7	ED pathway	7	None	None	None
campylobacter	2	eMLST (21 partial genes)	21	None	None	None
campylobacter	5	Ribosomal Protein Genes	52	None	None	None
calbicans	1	MLST	7	3668	2021-09-27	2021-09-27
cglabrata	1	MLST	6	193	2021-07-22	2021-07-22
ckrusei	1	MLST	6	239	2021-09-20	2021-09-20
ctropicalis	1	MLST	6	1200	2021-10-14	2021-10-14
cmaltaromaticum	1	MLST	7	56	2018-04-11	2018-04-11
chlamydiales	16	Aerobic and ATP Biogenesis	16	None	None	None
chlamydiales	7	Amino Acyl tRNA Synthesis	3	None	None	None
chlamydiales	17	Aromatic Amino Acids	10	None	None	None
chlamydiales	18	Aspartate Amino Acid	5	None	None	None
chlamydiales	20	Biotin, Lipoate and Ubiquinone	6	None	None	None
chlamydiales	26	Both Purine and Pyrimidine Metabolism	4	None	None	None
chlamydiales	44	C. abortus cgMLST v1.0	959	None	None	None
chlamydiales	30	Cell Division	9	None	None	None
chlamydiales	42	C. trachomatis cgMLST v1.0	817	373	2020-09-30	2020-09-30
chlamydiales	3	DNA Replication	24	None	None	None
chlamydiales	14	Electron Transport Chain	4	None	None	None
chlamydiales	37	Eukaryotic Type Chromatin Factors	4	None	None	None
chlamydiales	29	Fatty Acid and Phospholipid Metabolism	27	None	None	None
chlamydiales	21	Folic Acid	5	None	None	None
chlamydiales	10	Glycolysis, Gluconeogensis, Glycogen	20	None	None	None
chlamydiales	27	Membrane Proteins, Lipoproteins, Porins	9	None	None	None
chlamydiales	36	Miscellaneous Enzymes/Conserved Proteins	44	None	None	None
